episode,step,uncertainty,threshold,robot_x,robot_y,raw_waypoint_x,raw_waypoint_y,post_waypoint_x,post_waypoint_y,postprocess_reason,llm_reasoning
8,335,0.024899024963378907,0.0247,1.8506895303726196,-0.8741235733032227,1.9,-1.2,3.75,-1.35,forced second-stage waypoint past obstacle on same side,"The robot is below and slightly left of the obstacle with only modest lower-side clearance, so the safest first detour is to stay on the lower side and move to a waypoint beside the obstacle with at least 0.6 m clearance before going past it."
9,134,0.0254318904876709,0.0247,1.9178582429885864,0.0200498104095459,1.6,1.2,1.65,1.35,forced first-stage lateral escape before obstacle front,"The robot is directly in front of the obstacle’s left face at y≈0, so it should first move to a side waypoint with at least 0.6 m lateral clearance rather than aiming past the obstacle."
9,271,0.030013341903686524,0.0247,1.8616931438446045,0.5800021886825562,2.1,1.2,1.6116931438446045,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above and to the left of the obstacle with insufficient clearance to go straight, so the clearest detour is to stay on the upper side and first move to a waypoint above the obstacle with more than 0.6 m lateral clearance before proceeding past it."
9,291,0.02490713119506836,0.0247,1.87321138381958,0.7938438057899475,3.4,0.8,1.62321138381958,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above and slightly left of the obstacle with insufficient clearance to go straight, so the clearest detour is to stay on the upper side and move to a waypoint safely above and past the obstacle."
10,133,0.02496220588684082,0.0247,1.916155219078064,0.02384960651397705,1.7,1.2,1.65,1.35,forced first-stage lateral escape before obstacle front,"The robot is immediately in front of the obstacle’s left face with no lateral clearance, so it should first move to a side waypoint with at least 0.6 m clearance rather than aiming past the obstacle."
10,271,0.03413202285766602,0.0247,1.8673971891403198,0.5911887884140015,1.5,1.1,1.6173971891403198,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above and left of the obstacle with no safe forward clearance, so the clearest detour is to stay on the upper side and first move slightly left/up to gain at least 0.6 m lateral clearance before going past it."
10,291,0.025462169647216797,0.0247,1.8722621202468872,0.7715497016906738,2.1,1.2,1.6222621202468872,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above and to the left of the obstacle with insufficient clearance to go straight, so the clearest detour is to stay on the upper side and first move to a waypoint above the obstacle's top-left with safe margin."
11,134,0.02623798370361328,0.0247,1.9189339876174927,0.02886509895324707,1.9,-1.1,1.65,-1.35,forced first-stage lateral escape before obstacle front,"The robot is immediately in front of the obstacle’s left face at y≈0, so it should first move laterally to a clear point below the obstacle with at least 0.6 m clearance rather than aiming past the front face."
11,304,0.027038354873657227,0.0247,1.8554514646530151,-0.5832126140594482,1.8,-1.2,1.6054514646530151,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just below and slightly left of the obstacle with insufficient clearance, so the clearest safe first detour is to stay on the lower side and move to a waypoint beside/slightly behind the obstacle with more than 0.6 m lateral clearance."
11,324,0.03720261573791504,0.0247,1.8535010814666748,-0.7960455417633057,1.6,-1.2,1.6035010814666748,-1.35,forced first-stage lateral escape before obstacle front,"The robot is below and slightly left of the obstacle with no lower-side clearance yet, so the safest first detour is a waypoint down-left of the obstacle that gives more than 0.6 m clearance before going past it."
11,344,0.02572824478149414,0.0247,1.850720763206482,-0.8663454055786133,1.8,-1.2,3.75,-1.35,forced second-stage waypoint past obstacle on same side,"The robot is below and slightly in front of the obstacle’s lower side, so the clearest safe detour is to stay on the lower side and first move to a waypoint with more than 0.6 m clearance below the obstacle without going past its front face."
12,133,0.024755496978759766,0.0247,1.917098045349121,0.02595067024230957,1.7,-1.1,1.65,-1.35,forced first-stage lateral escape before obstacle front,"The robot is at the obstacle’s front-left edge with no lateral clearance, so it should first move to the lower side with at least 0.6 m clearance before going past."
12,302,0.028029460906982422,0.0247,1.8682708740234375,-0.5838522911071777,1.8,-1.1,1.6182708740234375,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just below and slightly left of the obstacle with insufficient clearance to go in front, so the safest first detour is farther along the lower side with at least 0.6 m clearance before passing it."
12,322,0.03447415351867676,0.0247,1.8536120653152466,-0.7514662742614746,1.4,-1.2,1.6036120653152466,-1.35,forced first-stage lateral escape before obstacle front,"The robot is below and slightly left of the obstacle with insufficient lower-side clearance, so it should first move farther down and a bit back on the same lower side before going past the obstacle."
13,134,0.026676673889160157,0.0247,1.9180066585540771,0.02636277675628662,1.6,1.1,1.65,1.35,forced first-stage lateral escape before obstacle front,"The robot is directly in front of the obstacle’s left face at mid-height, so it should first move to a side waypoint with at least 0.6 m lateral clearance rather than aiming past the obstacle."
13,273,0.033073682785034184,0.0247,1.860200047492981,0.5805245041847229,3.2,1.1,1.610200047492981,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above and slightly left of the obstacle’s upper-left front corner, so it should keep to the upper side and first move to a waypoint with clear lateral clearance above the obstacle before proceeding to the goal."
13,293,0.02603961944580078,0.0247,1.8695895671844482,0.7891399264335632,1.9,1.2,1.6195895671844482,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above and left of the obstacle with only about 0.29 m clearance from its top face, so it should first move further upward on the same upper side to gain safe lateral clearance before going past."
14,134,0.02627279281616211,0.0247,1.917637825012207,0.025584101676940918,1.9,0.7,1.65,1.35,forced first-stage lateral escape before obstacle front,"The robot is directly at the obstacle’s front and centered vertically, so it should first move to a nearby side waypoint with at least 0.6 m lateral clearance rather than aiming past the obstacle."
14,272,0.04229452133178711,0.0247,1.8584955930709839,0.5820229053497314,1.9,1.2,1.6084955930709839,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above and left of the obstacle with insufficient top clearance, so it should first move further upward on the same upper side rather than aiming past the obstacle front."
14,292,0.026232738494873047,0.0247,1.8544682264328003,0.7528915405273438,1.85,1.2,1.6044682264328003,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above and left of the obstacle with insufficient clearance to go past the front, so it should first move upward on the same upper side to gain safe lateral clearance before detouring around it."
15,134,0.025640745162963868,0.0247,1.9163057804107666,0.026976346969604492,1.7,-1.1,1.65,-1.35,forced first-stage lateral escape before obstacle front,"The robot is directly in front of the obstacle’s left face near its centerline, so it should first move to the lower side with more than 0.6 m lateral clearance before attempting to go past."
15,301,0.025950212478637696,0.0247,1.8673269748687744,-0.5820767879486084,1.6,-1.2,1.6173269748687744,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just below and slightly left of the obstacle with insufficient lateral clearance, so the safest first detour is to stay on the lower side and move slightly back and farther down before going past it."
15,321,0.026826162338256836,0.0247,1.852035641670227,-0.7593743801116943,1.8,-1.2,1.602035641670227,-1.35,forced first-stage lateral escape before obstacle front,"The robot is below-left of the obstacle and still close to its front-left area, so the safest first detour is to stay on the lower side and move to a point beside/slightly behind the obstacle with more than 0.6 m clearance below it."
16,134,0.026427288055419922,0.0247,1.9172234535217285,0.027261972427368164,1.6,-1.2,1.65,-1.35,forced first-stage lateral escape before obstacle front,"The robot is directly in front of the obstacle with no lateral clearance, so it should first move to the lower side with more than 0.6 m clearance rather than aiming past the obstacle."
16,298,0.02475478172302246,0.0247,1.8509190082550049,-0.5865674018859863,1.85,-1.1,1.6009190082550049,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just below and slightly left of the obstacle with insufficient lower-side clearance, so it should first move farther downward on the same lower side before going past the obstacle."
16,318,0.027027149200439454,0.0247,1.8379268646240234,-0.7573204040527344,1.8,-1.2,1.5879268646240234,-1.35,forced first-stage lateral escape before obstacle front,"The robot is below-left of the obstacle and close to its front, so the safest first detour is to stay on the lower side and move to a waypoint below the obstacle with more than 0.6 m lateral clearance before going past it."
17,134,0.02677037239074707,0.0247,1.9180870056152344,0.030011534690856934,1.9,-1.1,1.65,-1.35,forced first-stage lateral escape before obstacle front,"The robot is immediately at the obstacle’s front-left edge with no lateral clearance, so it should first move to a side waypoint below the obstacle with at least 0.6 m clearance rather than trying to go past the front face."
17,300,0.02652456283569336,0.0247,1.862917184829712,-0.5799256563186646,1.8,-1.2,1.612917184829712,-1.35,forced first-stage lateral escape before obstacle front,"The robot is just below and slightly left of the obstacle with insufficient clearance to go straight, so the clearest detour is to stay on the lower side and first move to a point below the obstacle's lower edge before going past it."
17,320,0.02980210304260254,0.0247,1.8448116779327393,-0.7833287715911865,1.6,-1.2,1.5948116779327393,-1.35,forced first-stage lateral escape before obstacle front,"The robot is below and slightly left of the obstacle with insufficient lower-side clearance, so it should first move farther down and a bit back on the lower side before going around."
18,134,0.02672626495361328,0.0247,1.9165723323822021,0.02654862403869629,1.8,1.1,1.65,1.35,forced first-stage lateral escape before obstacle front,"The robot is just left of the obstacle and aligned with its front face, so it should first move to a side waypoint with at least 0.6 m lateral clearance rather than aiming past the obstacle."
18,274,0.037779827117919926,0.0247,1.8561327457427979,0.5876356363296509,1.8,1.2,1.6061327457427979,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above and slightly left of the obstacle with only marginal clearance, so the safest first detour is to stay on the upper side and move farther upward/left of the obstacle rather than aiming past its front face."
19,134,0.02670909881591797,0.0247,1.917633295059204,0.0284273624420166,1.8,1.1,1.65,1.35,forced first-stage lateral escape before obstacle front,"The robot is directly in front of the obstacle’s left face at y≈0, so it should first move to a nearby side waypoint with at least 0.6 m lateral clearance rather than aiming past the obstacle."
19,274,0.03492714881896973,0.0247,1.8465993404388428,0.5815024375915527,1.6,1.2,1.5965993404388428,1.35,forced first-stage lateral escape before obstacle front,"The robot is just above and left of the obstacle with insufficient lateral clearance, so the safest first detour is to stay on the upper side and move farther upward/left rather than trying to go past the obstacle front."
19,294,0.02508713722229004,0.0247,1.8526191711425781,0.7932209968566895,1.85,1.2,1.6026191711425781,1.35,forced first-stage lateral escape before obstacle front,"The robot is above and just left of the obstacle with only 0.29 m lateral clearance, so it should first move farther upward on the same side to gain safe clearance before going past the obstacle."
